,Flat_win_runners,Flat_wins,Flat_runs,Flat_earnings,Turf_win_runners,Turf_wins,Turf_runs,Turf_earnings,All-weather_win_runners,All-weather_wins,All-weather_runs,All-weather_earnings,Jumps_win_runners,Jumps_wins,Jumps_runs,Jumps_earnings,Chase_win_runners,Chase_wins,Chase_runs,Chase_earnings,Hurdles_win_runners,Hurdles_wins,Hurdles_runs,Hurdles_earnings,NHF_win_runners,NHF_wins,NHF_runs,NHF_earnings,Broodmare sires_win_runners,Broodmare sires_wins,Broodmare sires_runs,Broodmare sires_earnings,2yo_win_runners,2yo_wins,2yo_runs,2yo_earnings,First Crop_win_runners,First Crop_wins,First Crop_runs,First Crop_earnings,5-6f_win_runners,5-6f_wins,5-6f_runs,5-6f_earnings,7-9f_win_runners,7-9f_wins,7-9f_runs,7-9f_earnings,10-11f_win_runners,10-11f_wins,10-11f_runs,10-11f_earnings,12-13f_win_runners,12-13f_wins,12-13f_runs,12-13f_earnings,14f+_win_runners,14f+_wins,14f+_runs,14f+_earnings,Heavy_win_runners,Heavy_wins,Heavy_runs,Heavy_earnings,Soft_win_runners,Soft_wins,Soft_runs,Soft_earnings,Gd-sft_win_runners,Gd-sft_wins,Gd-sft_runs,Gd-sft_earnings,Good_win_runners,Good_wins,Good_runs,Good_earnings,Gd-fm_win_runners,Gd-fm_wins,Gd-fm_runs,Gd-fm_earnings,Firm_win_runners,Firm_wins,Firm_runs,Firm_earnings,age,sire,dam,dam_sire,stud_fee,total_starts,total_earnings,top_rpr,sire_comments
Havana Gold,99/226,198,2073,"£2,424,077",68/208,126,1251,"£1,858,560",49/180,72,822,"£565,517",1/18,1,71,"£22,133",0/1,0,6,"£6,597",1/17,1,62,"£15,536",0/2,0,3,—,,,,,54/194,76,742,"£1,021,814",18/58,25,223,"£337,175",51/167,91,757,"£1,379,867",46/181,80,1062,"£851,429",11/60,15,167,"£126,335",7/31,11,78,"£61,291",1/6,1,9,"£5,155",2/29,2,34,"£18,560",8/90,8,168,"£204,296",8/101,8,161,"£139,103",36/159,47,416,"£652,835",36/167,57,488,"£672,785",2/10,2,12,"£11,514",11yo:,Teofilo right,Jessica's Dream right,Desert Style right,"£12,500",11,"£367,267",113,"high-class & tough 2yo, inc Group 3; won Group 1 Prix Jean Prat at 3; speedy family"
Highland Reel,6/23,9,71,"£75,874",6/21,9,55,"£71,766",0/11,0,16,"£4,108",,,,,,,,,,,,,,,,,,,,,6/23,9,71,"£75,874",6/23,9,71,"£75,874",3/7,3,14,"£24,263",4/23,6,54,"£49,075",0/3,0,3,"£2,536",,,,,,,,,0/1,0,1,—,2/9,2,11,"£11,813",0/2,0,3,"£2,637",3/11,3,17,"£23,800",3/10,3,13,"£26,343",,,,,9yo:,Galileo right,Hveger right,Danehill right,"€10,000",27,"£7,513,355",124,"G2 winning 2yo; later globetrotting middle-distance superstar, inc 7 G1s; excellent family"
Holy Roman Emperor,354/642,782,7209,"£9,893,572",280/606,513,4696,"£7,944,307",142/472,269,2513,"£1,949,265",22/57,44,515,"£386,723",2/5,4,29,"£29,167",21/53,38,458,"£343,621",1/8,2,28,"£13,935",126/260,251,2345,"£3,538,973",175/502,221,2063,"£3,142,008",,,,,145/417,272,2408,"£3,393,816",220/547,387,3520,"£4,897,965",53/201,91,838,"£1,161,495",18/120,27,342,"£383,937",6/39,5,101,"£56,359",19/152,23,258,"£300,944",67/305,81,689,"£954,121",40/253,54,566,"£1,118,643",131/477,167,1656,"£2,813,835",125/435,156,1376,"£2,589,876",9/40,11,55,"£76,008",17yo:,Danehill right,L'On Vite right,Secretariat right,"€10,000",7,"£414,496",125,"top-class juvenile, inc Phoenix Stakes & Prix Jean-Luc Lagardere; retired at 2; high-class family"
Iffraaj,392/719,897,8076,"£12,176,131",291/684,532,5105,"£9,513,112",195/556,365,2971,"£2,663,019",28/82,67,664,"£661,353",3/17,6,66,"£155,396",27/77,54,554,"£465,410",6/17,7,44,"£40,547",72/164,134,1342,"£1,796,115",170/525,221,1731,"£3,102,944",,,,,130/422,261,2111,"£3,145,652",256/633,489,4433,"£7,252,380",61/273,93,979,"£1,291,479",30/121,37,395,"£266,296",15/53,17,158,"£220,323",19/144,19,209,"£246,023",54/390,69,830,"£1,714,921",78/353,100,806,"£1,483,081",128/540,184,1855,"£3,091,161",151/549,206,1683,"£3,553,122",6/43,6,53,"£54,263",20yo:,Zafonic right,Pastorale right,Nureyev right,"£17,500",13,"£375,547",125,"high-class older colt over 6-7f at 2-5, inc Group 2 Lennox Stakes & Park Stakes; top-class pedigree"
Invincible Spirit,715/1119,1743,14366,"£28,046,965",540/1062,1108,9617,"£22,993,220",333/802,635,4749,"£5,053,745",28/93,62,783,"£593,103",5/17,6,113,"£87,802",27/90,54,650,"£500,907",2/10,2,20,"£4,394",302/704,672,7083,"£7,569,297",327/815,431,2931,"£7,207,237",,,,,378/802,801,6396,"£12,996,930",385/914,773,6534,"£12,715,042",71/262,115,915,"£1,500,280",25/109,37,373,"£628,315",27/36,17,148,"£206,398",41/256,45,394,"£1,676,928",111/579,131,1400,"£3,061,894",110/497,147,1222,"£2,438,105",233/861,325,3151,"£7,236,361",278/833,404,3128,"£7,718,218",28/118,33,184,"£247,955",Sire:,Green Desert right,Rafha right,Kris right,"€80,000",17,"£247,786",120,won Haydock Sprint Cup; dam won French Oaks; closely related to sire Kodiac; top-class producer
Joshua Tree,3/4,4,34,"£24,186",2/3,2,13,"£10,159",2/4,2,21,"£14,027",2/7,3,34,"£21,661",0/1,0,3,—,2/5,3,27,"£20,304",0/2,0,4,"£1,357",,,,,0/1,0,2,£828,,,,,,,,,1/3,1,15,"£6,426",2/4,3,9,"£13,457",0/3,0,7,"£3,698",0/2,0,3,£606,1/3,1,6,"£4,754",0/2,0,4,"£1,075",0/3,0,4,"£1,989",2/7,4,19,"£22,109",0/2,0,3,£800,,,,,14yo:,Montjeu right,Madeira Mist right,Grand Lodge right,"€3,000",35,"£2,399,448",118,"won Royal Lodge at 2, later top middle-distance performer, from good family; first 3yos 2019"
Kingman,157/259,279,1606,"£5,357,051",115/240,192,1130,"£4,637,916",70/171,87,476,"£719,135",0/8,0,18,"£1,894",,,,,0/7,0,16,"£1,537",0/1,0,2,£357,,,,,73/189,85,436,"£1,020,618",18/51,22,117,"£325,733",29/88,40,272,"£528,538",118/229,194,1017,"£3,776,825",31/87,36,246,"£840,671",7/32,8,57,"£201,286",1/7,1,14,"£9,731",8/34,8,37,"£74,493",27/111,28,169,"£764,253",23/101,25,144,"£1,012,374",42/164,48,364,"£1,287,192",53/172,72,362,"£1,477,329",1/7,1,7,"£7,343",10yo:,Invincible Spirit right,Zenda right,Zamindar right,"£150,000",8,"£970,834",128,"Top-class 2yo, inc Solario Stakes; four time Group 1 winner, Champion 3yo & horse of the year"
Kodi Bear,38/83,66,563,"£1,202,875",25/79,45,395,"£1,036,977",17/59,21,168,"£165,898",1/4,1,10,"£13,060",,,,,1/4,1,10,"£13,060",,,,,,,,,25/74,39,312,"£729,398",15/44,22,171,"£310,238",28/70,47,326,"£834,922",9/54,15,195,"£223,923",2/11,2,31,"£48,178",2/6,2,9,"£95,852",1/2,0,2,—,1/14,1,17,"£84,552",9/44,9,65,"£110,636",7/26,10,48,"£185,599",12/65,15,149,"£472,322",6/49,7,80,"£163,758",1/2,1,2,"£6,116",9yo:,Kodiac right,Hawattef right,Mujtahid right,"€15,000",13,"£258,682",121,"high-class miler, runner-up in G1 Dewhurst and won G2 Celebration Mile at 3, family of Esoterique"
Kodiac,633/1111,1506,13835,"£19,871,416",499/1061,982,8918,"£15,274,419",288/825,524,4917,"£4,596,997",19/72,38,486,"£270,786",3/8,6,62,"£39,309",18/70,31,412,"£224,918",1/6,1,12,"£6,559",38/121,79,862,"£957,521",394/949,558,4193,"£7,716,473",,,,,415/931,875,7436,"£11,746,662",280/786,536,5356,"£6,776,264",42/192,66,686,"£904,861",12/82,18,258,"£364,048",25/35,11,99,"£79,581",28/205,34,308,"£564,684",99/539,109,1152,"£1,865,980",111/544,134,1259,"£2,036,601",253/862,341,3050,"£5,374,460",257/817,357,2921,"£5,450,639",18/96,18,127,"£159,923",20yo:,Danehill right,Rafha right,Kris right,"€65,000",20,"£101,459",111,useful 6-7f; dam won French Oaks; closely related to Invincible Spirit; leading source of speed
Kuroshio,8/16,16,191,"£244,300",4/15,8,103,"£191,019",5/11,8,88,"£53,282",0/1,0,8,"£1,327",,,,,0/1,0,8,"£1,327",,,,,,,,,5/14,6,64,"£107,804",5/14,6,64,"£107,804",6/14,13,134,"£174,953",2/10,2,49,"£65,142",1/2,1,5,"£3,805",0/3,0,3,£400,,,,,0/2,0,3,"£1,262",2/6,2,14,"£34,394",1/9,1,14,"£5,847",0/11,0,37,"£58,693",3/13,5,42,"£92,150",0/1,0,1,—,11yo:,Exceed And Excel right,Arctic Drift right,Gone West right,"€6,000",7,"£141,538",114,high-class sprinter at 2-3 in Australia; brother to dam of Bounding; from good speed family
Lope De Vega,267/459,631,4485,"£11,079,997",208/439,422,3123,"£9,229,216",120/331,209,1362,"£1,850,781",12/45,26,282,"£424,543",1/3,2,18,"£63,787",12/44,24,259,"£358,848",0/4,0,5,"£1,908",20/37,33,290,"£463,824",99/317,130,849,"£2,208,013",13/36,17,108,"£494,073",51/170,116,782,"£1,772,309",181/421,344,2456,"£6,682,392",78/222,104,769,"£1,550,163",40/117,54,346,"£713,864",10/49,13,132,"£361,269",19/133,22,203,"£349,270",53/245,67,514,"£1,705,769",43/213,51,458,"£1,314,963",114/339,150,1082,"£3,139,073",84/293,119,772,"£2,706,266",4/13,4,15,"£20,192",14yo:,Shamardal right,Lady Vettori right,Vettori right,"€125,000",9,"£1,055,611",121,"high-class 2yo; French 2,000 Guineas/Derby winner; well related; quality sire"
Make Believe,46/85,90,746,"£1,925,399",38/85,67,542,"£1,754,883",19/57,23,204,"£170,516",5/9,5,58,"£54,984",,,,,5/9,5,58,"£54,984",,,,,,,,,15/57,20,185,"£285,146",11/38,16,128,"£229,097",9/37,15,131,"£189,548",26/77,40,416,"£576,381",10/44,17,106,"£965,531",6/27,7,54,"£83,135",3/11,11,39,"£110,804",4/35,4,57,"£49,503",12/61,15,114,"£134,053",5/25,9,50,"£287,222",26/67,29,192,"£983,188",7/45,10,89,"£317,983",0/1,0,1,£828,9yo:,Makfi right,Rosie's Posy right,Suave Dancer right,"€15,000",7,"£462,855",121,Unbeaten 2yo; dual Group 1 winner over 7f & 1m in France at 3; high-class family
Malinas,1/4,1,14,"£8,217",1/4,1,12,"£8,217",0/2,0,2,—,72/164,177,1213,"£1,970,856",17/38,41,193,"£697,591",57/130,101,752,"£1,030,873",29/128,35,268,"£242,393",5/10,8,48,"£34,688",,,,,,,,,,,,,0/2,0,3,—,0/2,0,5,—,1/3,1,5,"£7,836",0/1,0,1,£380,14/69,16,151,"£247,524",34/114,58,315,"£633,653",25/88,31,224,"£388,804",33/126,57,430,"£552,538",2/15,2,17,"£10,384",,,,,20yo:,Lomitas right,Majoritat right,Konigsstuhl right,Private,11,"£185,254",117,"high-class 10-12f colt at 3-4, German Derby runner-up; NH sire"
Markaz,17/49,27,324,"£240,114",9/42,16,197,"£162,849",8/38,11,127,"£77,265",,,,,,,,,,,,,,,,,,,,,9/45,11,183,"£121,533",5/32,6,135,"£66,848",8/40,11,130,"£93,938",9/43,12,177,"£124,548",1/6,4,14,"£18,941",0/2,0,3,"£2,687",,,,,0/5,0,5,"£1,732",1/23,1,41,"£19,919",1/14,1,20,"£13,518",4/29,6,68,"£70,594",4/23,8,44,"£57,354",0/1,0,1,£300,9yo:,Dark Angel right,Folga right,Atraf right,"€3,000",14,"£152,288",116,"£200,000 yearling; smart sprinter, brother to brilliant filly Mecca's Angel; speedy family"
Mastercraftsman,236/493,559,5241,"£11,195,303",185/470,397,3624,"£9,611,942",94/347,162,1617,"£1,583,361",73/175,149,1358,"£1,612,890",11/30,18,140,"£221,858",67/164,124,1149,"£1,318,214",7/33,7,69,"£72,818",25/68,57,523,"£498,479",67/338,78,988,"£1,330,736",21/55,29,204,"£501,759",16/105,26,282,"£349,510",124/440,209,2263,"£4,401,806",91/324,165,1296,"£3,307,162",66/257,92,839,"£1,562,358",37/140,67,561,"£1,574,467",23/154,27,253,"£454,714",62/303,77,757,"£1,565,729",59/249,83,681,"£1,289,463",124/398,203,1686,"£4,215,524",92/352,117,1068,"£3,532,578",1/18,2,22,"£18,350",Died as a 15yo:,Danehill Dancer right,Starlight Dreams right,Black Tie Affair right,"€15,000",10,"£937,819",127,"champion 2yo; won National & Phoenix Stakes; won two Group 1's at 3, inc Irish Guineas; quality sire"
Mayson,143/286,383,3291,"£4,867,234",117/274,248,2202,"£3,822,746",69/217,135,1089,"£1,044,488",0/9,0,29,"£7,991",,,,,0/8,0,26,"£7,562",0/3,0,3,£429,2/6,7,38,"£138,725",75/227,105,913,"£1,414,656",16/44,23,178,"£363,255",102/246,253,1934,"£3,660,575",57/185,119,1186,"£1,110,388",6/43,9,131,"£70,740",2/12,2,33,"£17,472",9/6,0,7,"£8,060",12/85,13,118,"£250,432",39/187,46,431,"£510,975",40/163,51,410,"£774,709",53/217,63,628,"£1,110,048",43/190,62,545,"£1,134,945",4/12,5,13,"£28,513",13yo:,Invincible Spirit right,Mayleaf right,Pivotal right,"£6,000",17,"£416,615",121,"smart 5-6f 2yo; later top-class sprinter, inc July Cup winner & Abbaye runner-up; speed source"
Mehmas,94/172,169,1225,"£2,422,701",76/162,115,885,"£2,018,486",38/113,54,340,"£404,215",,,,,,,,,,,,,,,,,,,,,80/161,114,702,"£1,693,127",46/88,65,401,"£909,702",78/153,129,871,"£1,953,853",20/89,37,340,"£452,050",3/6,3,13,"£15,277",0/1,0,1,"£1,521",,,,,1/21,1,24,"£30,735",11/76,11,116,"£156,882",15/63,15,98,"£219,184",39/133,43,320,"£907,583",32/103,38,255,"£642,063",1/3,2,4,"£11,933",7yo:,Acclamation right,Lucina right,Machiavellian right,"€25,000",8,"£305,953",114,"High-class 2yo; won July & Richmond Stakes, runner-up in Coventry & National Stakes; retired at 2"
Mondialiste,3/24,3,92,"£49,118",3/22,3,71,"£39,476",0/14,0,21,"£9,642",,,,,,,,,,,,,,,,,,,,,3/24,3,92,"£49,118",3/24,3,92,"£49,118",2/16,2,49,"£30,368",1/19,1,42,"£16,976",0/1,0,1,"£1,775",,,,,,,,,,,,,1/14,1,16,"£6,807",0/8,0,8,"£3,883",1/14,1,23,"£11,797",1/11,1,24,"£16,990",,,,,11yo:,Galileo right,Occupandiste right,Kaldoun right,"€4,000",29,"£1,259,737",118,"Dual Gr 1 winner by Galileo, from immediate family of Intello; first foals 2019"
Muhaarar,88/173,130,1119,"£1,945,316",63/161,83,718,"£1,624,116",36/121,47,401,"£321,200",1/6,1,21,"£11,630",,,,,1/6,1,20,"£11,201",0/1,0,1,£429,,,,,42/129,47,374,"£484,547",12/40,12,111,"£120,205",35/93,39,335,"£356,421",47/148,63,576,"£757,032",14/53,19,137,"£706,512",7/21,7,54,"£69,656",2/10,2,17,"£55,695",5/25,5,30,"£71,615",10/79,11,118,"£195,741",8/60,9,95,"£587,395",26/123,26,241,"£445,651",27/101,32,209,"£334,761",1/5,1,5,"£6,702",9yo:,Oasis Dream right,Tahrir right,Linamix right,"£10,000",11,"£1,212,401",127,"exceptional sprinter at 3, also Gimcrack Stakes winner at 2, from good family; first 2yos 2019"
Mukhadram,71/135,126,1125,"£1,090,882",43/112,63,620,"£628,736",37/115,63,505,"£462,146",4/15,5,56,"£36,765",1/1,1,3,"£4,294",3/12,3,41,"£25,448",1/5,1,12,"£7,022",,,,,21/89,22,263,"£189,532",8/32,9,102,"£61,909",9/50,11,135,"£95,280",47/122,69,609,"£629,982",25/79,29,234,"£247,147",10/40,14,112,"£86,174",3/15,3,35,"£32,299",1/24,1,28,"£14,419",11/62,11,114,"£106,217",8/54,10,101,"£95,542",14/89,15,219,"£243,994",23/75,27,167,"£180,614",0/5,0,5,"£1,882",12yo:,Shamardal right,Magic Tree right,Timber Country right,"€4,500",15,"£763,431",123,"dual 1m winner at 3, top-class 10-12f performer at 3-4, from family of Mastery; first 3yos 2019"
Nathaniel,136/296,292,2444,"£7,573,051",106/278,196,1604,"£6,753,391",64/219,96,840,"£819,660",41/88,87,578,"£1,158,106",5/7,10,32,"£141,445",37/75,71,472,"£973,046",6/33,6,74,"£43,614",1/3,1,22,"£14,900",30/170,34,372,"£339,025",5/34,5,77,"£47,503",2/31,2,34,"£15,135",50/245,68,734,"£1,753,638",62/224,93,729,"£3,205,990",60/184,71,495,"£1,362,912",33/115,58,452,"£1,235,376",15/73,18,112,"£296,354",35/185,51,399,"£1,019,452",37/164,44,327,"£2,555,380",60/230,96,731,"£2,114,891",47/190,62,475,"£1,892,731",2/15,3,18,"£14,248",13yo:,Galileo right,Magnificient Style right,Silver Hawk right,"£15,000",11,"£1,464,688",127,"won King George & Eclipse, brother to Great Heavens from fine family; sire of Enable"
National Defense,0/9,0,25,"£26,174",0/8,0,19,"£25,874",0/4,0,6,£300,,,,,,,,,,,,,,,,,,,,,0/9,0,25,"£26,174",0/9,0,25,"£26,174",0/6,0,12,"£19,096",0/5,0,13,"£7,078",,,,,,,,,,,,,,,,,0/2,0,3,"£1,050",,,,,0/7,0,9,"£8,328",0/4,0,5,"£17,912",,,,,7yo:,Invincible Spirit right,Angel Falls right,Kingmambo right,"€5,000",5,"£178,741",119,"280,000euro yearling; champion 2yo colt in France, Group 3 placed over 7f at 3"
New Approach,272/505,554,4061,"£10,741,038",200/461,381,2766,"£9,312,182",111/350,173,1295,"£1,428,856",29/75,61,550,"£467,120",4/13,4,56,"£42,063",26/66,53,458,"£410,938",3/19,4,36,"£14,120",66/144,125,957,"£1,535,202",83/278,107,669,"£1,874,018",10/30,18,87,"£537,898",26/98,40,298,"£465,073",167/439,284,1946,"£4,687,449",104/324,142,1010,"£2,411,339",44/204,55,537,"£2,343,723",19/89,33,270,"£833,454",8/87,9,128,"£306,636",46/230,55,460,"£913,065",51/221,69,459,"£1,782,702",103/351,137,1070,"£3,654,803",101/336,137,876,"£2,515,684",4/18,4,26,"£25,409",16yo:,Galileo right,Park Express right,Ahonoora right,Private,11,"£1,992,068",131,"five-time Gr1 winner over 7-12f at 2-3; excellent sire incl Dawn Approach, Masar and Talent"
New Bay,37/63,74,350,"£1,364,172",30/60,59,272,"£1,252,669",10/31,15,78,"£111,503",,,,,,,,,,,,,,,,,,,,,23/56,31,170,"£581,174",11/29,17,88,"£268,257",6/27,10,71,"£170,487",25/60,40,212,"£918,893",8/18,18,46,"£240,805",5/9,6,21,"£33,988",,,,,0/7,0,8,"£3,120",5/34,5,46,"£142,285",8/20,9,25,"£149,942",21/41,28,103,"£671,406",6/31,10,61,"£241,050",0/2,0,2,£906,9yo:,Dubawi right,Cinnamon Bay right,Zamindar right,"€20,000",10,"£1,518,448",122,"high-class; won French Derby, placed in French 2,000 Guineas and Arc; related to Oasis Dream"
Night Of Thunder,79/142,151,871,"£2,643,930",64/127,107,633,"£2,304,981",26/93,44,238,"£338,948",0/2,0,4,"£2,736",,,,,0/1,0,2,"£2,422",0/1,0,2,£314,,,,,42/102,54,295,"£756,105",23/41,31,130,"£487,020",29/66,44,255,"£971,541",51/117,84,481,"£1,086,964",13/37,19,108,"£418,838",2/14,3,22,"£121,053",1/2,1,5,"£45,533",5/26,5,28,"£68,593",15/69,15,115,"£343,219",12/51,13,77,"£507,740",31/95,34,216,"£629,192",24/80,32,172,"£700,325",1/2,1,2,"£3,381",10yo:,Dubawi right,Forest Storm right,Galileo right,"€75,000",11,"£872,361",124,"6f Listed winner at 2, top miler at 3-4, won 2,000 Guineas & Lockinge; first 2yos 2019"
No Nay Never,126/230,218,1668,"£5,278,100",104/218,165,1204,"£4,752,771",39/140,53,464,"£525,329",1/11,1,32,"£23,554",0/1,0,1,£350,1/10,1,30,"£23,204",0/1,0,1,—,,,,,84/194,111,662,"£2,569,759",22/44,31,155,"£836,957",78/174,126,785,"£2,822,423",51/177,78,738,"£2,302,763",5/34,7,94,"£80,823",4/15,5,43,"£57,641",2/6,2,8,"£14,450",7/41,7,54,"£356,515",26/95,29,161,"£1,149,183",6/65,6,94,"£194,389",45/178,50,414,"£1,486,760",39/143,47,316,"£1,296,814",0/3,0,3,£756,10yo:,Scat Daddy right,Cat's Eye Witness right,Elusive Quality right,"€125,000",4,"£370,612",117,"Unbeaten 2yo, inc Norfolk & Morny; won 5f Grade 3 and runner-up in Breeders' Cup Turf Sprint at 3"
Oasis Dream,591/993,1448,11507,"£24,199,836",449/946,926,7480,"£20,388,386",283/734,522,4027,"£3,811,450",18/73,40,524,"£297,180",2/9,9,39,"£79,694",18/70,31,460,"£214,085",0/11,0,25,"£3,402",469/858,1067,9291,"£14,398,425",247/664,313,2131,"£6,479,008",,,,,267/595,615,4401,"£9,963,238",339/826,657,5411,"£11,138,458",74/306,113,1114,"£2,115,742",32/139,51,434,"£682,926",15/50,12,147,"£299,473",18/157,21,237,"£430,112",71/439,84,915,"£1,836,491",100/477,117,1088,"£2,484,925",215/741,305,2572,"£6,292,956",263/748,386,2717,"£9,170,108",23/104,24,140,"£216,651",Sire:,Green Desert right,Hope right,Dancing Brave right,"£20,000",9,"£433,737",129,"top-class 2yo/sprinter, won July Cup, gets high-class sprinters to middle-distance runners and 2yos"
Outstrip,32/106,66,807,"£501,895",21/99,27,447,"£276,098",20/86,39,360,"£225,798",0/5,0,14,"£7,024",,,,,0/4,0,13,"£7,024",0/1,0,1,—,,,,,16/87,23,339,"£210,967",10/36,14,138,"£104,248",10/65,21,291,"£172,304",20/87,30,394,"£250,717",7/27,10,75,"£44,565",1/13,2,35,"£18,398",3/4,3,12,"£15,912",0/12,0,15,"£3,458",4/47,4,65,"£35,905",1/33,1,45,"£16,464",8/74,8,173,"£117,049",12/65,14,131,"£106,631",0/6,0,9,"£5,519",10yo:,Exceed And Excel right,Asi Siempre right,El Prado right,"£4,000",10,"£508,455",119,"Breeders' Cup Juvenile Turf winner, out of 1m1f US Grade 1 winner Asi Siempre; first 2yos 2019"
Parish Hall,1/5,1,27,"£15,514",1/5,1,23,"£14,954",0/1,0,4,£560,,,,,,,,,,,,,,,,,,,,,1/3,1,20,"£14,067",0/2,0,11,"£3,139",0/1,0,1,£107,1/4,1,21,"£14,060",0/4,0,5,"£1,347",,,,,,,,,0/1,0,1,—,0/3,0,3,"£2,022",,,,,1/4,1,13,"£12,470",,,,,,,,,12yo:,Teofilo right,Halla Siamsa right,Montjeu right,Private,24,"£393,978",118,Group class; winner of the 2011 Dewhurst Stakes
Pastoral Pursuits,188/391,610,6196,"£5,914,893",161/370,417,4045,"£4,623,481",94/299,193,2151,"£1,291,412",2/34,3,135,"£30,164",0/1,0,1,—,1/29,2,117,"£25,534",1/8,1,17,"£4,631",39/82,103,1139,"£1,104,926",102/302,145,1321,"£1,443,692",,,,,130/309,423,3709,"£4,116,153",78/299,165,2123,"£1,530,835",13/95,15,260,"£235,616",4/32,7,78,"£28,056",12/14,0,26,"£4,233",14/76,16,121,"£113,044",51/210,68,594,"£632,272",43/221,61,658,"£817,554",80/294,123,1297,"£1,448,151",91/303,130,1354,"£1,481,738",16/62,19,108,"£102,056",Died as a 20yo:,Bahamian Bounty right,Star I right,Most Welcome right,"£2,000",10,"£264,496",124,"smart 6f 2yo, later top-class up to 7f, brother to G1 sprinter Goodricke; good source of 2yos"
Pearl Secret,10/38,12,211,"£109,876",8/35,9,126,"£74,521",3/27,3,85,"£35,355",0/2,0,3,£350,,,,,0/2,0,3,£350,,,,,,,,,6/33,6,115,"£62,748",3/22,3,82,"£29,897",6/29,8,119,"£77,159",4/23,4,75,"£25,999",0/5,0,11,"£2,459",0/1,0,1,£300,1/1,0,5,"£3,959",,,,,3/21,3,27,"£20,689",2/12,2,14,"£9,189",2/24,2,51,"£25,336",2/17,2,27,"£15,795",0/3,0,3,"£1,775",12yo:,Compton Place right,Our Little Secret right,Rossini right,"£3,000",26,"£242,320",117,"classy sprinter at 2-6, won Temple Stakes, from family of Dutch Art; first ylgs 2019"
Phoenix Reach,22/93,76,1007,"£842,822",18/83,44,558,"£700,076",12/81,32,449,"£142,747",20/68,46,599,"£418,802",4/10,8,122,"£116,079",19/49,35,390,"£281,383",2/43,3,87,"£21,341",1/3,2,13,"£28,136",7/61,11,207,"£248,784",,,,,4/32,27,275,"£112,610",11/87,29,398,"£383,666",10/50,11,157,"£132,376",3/40,5,115,"£102,083",5/21,4,62,"£112,087",8/39,8,82,"£88,761",8/62,15,196,"£262,108",7/64,7,187,"£147,799",21/92,40,442,"£425,085",10/68,18,209,"£168,736",0/11,0,14,"£6,042",Sire:,Alhaarth right,Carroll's Canyon right,Hatim right,"£2,000",16,"£1,975,483",120,progressed into top-class international mid-distance performer; sire of Elm Park
Pivotal,661/1014,1812,13197,"£32,568,244",531/964,1262,9409,"£28,941,901",277/688,550,3788,"£3,626,342",65/160,137,1417,"£1,252,747",13/42,20,227,"£160,720",59/143,112,1102,"£1,048,553",5/41,5,88,"£43,474",739/1278,1892,15709,"£36,520,708",178/547,236,1570,"£3,156,014",,,,,229/515,612,4583,"£10,597,714",433/900,876,6206,"£15,261,507",137/411,215,1487,"£4,391,693",50/211,76,632,"£1,648,701",27/88,33,289,"£668,628",63/284,78,553,"£1,790,677",178/605,238,1755,"£6,908,621",155/571,197,1655,"£3,909,029",272/793,403,3174,"£7,670,061",248/723,391,2936,"£7,438,221",22/145,25,194,"£662,601",Sire:,Polar Falcon right,Fearless Revival right,Cozzene right,Private,6,"£148,023",120,"high-class sprinter, excellent sire, can get fast, high-class 2yos, progeny often progress well"
Postponed,3/29,3,72,"£63,750",2/27,2,61,"£53,141",1/8,1,11,"£10,609",,,,,,,,,,,,,,,,,,,,,3/29,3,72,"£63,750",3/29,3,72,"£63,750",1/6,1,8,"£12,547",2/29,2,61,"£47,686",0/3,0,3,"£3,517",,,,,,,,,0/2,0,2,"£8,000",0/9,0,12,"£6,325",0/6,0,6,—,0/15,0,26,"£21,873",2/9,2,12,"£14,794",,,,,10yo:,Dubawi right,Ever Rigg right,Dubai Destination right,"£6,000",20,"£4,995,979",126,"2nd in valuable 7f sales race at 2, top-class over middle distances from 3 to 6; first foals 2019"
Prince Of Lir,21/53,30,298,"£319,345",15/52,23,230,"£275,578",7/30,7,68,"£43,766",0/1,0,1,—,,,,,0/1,0,1,—,,,,,,,,,14/42,18,156,"£200,913",8/27,11,94,"£141,602",17/45,23,195,"£239,174",4/28,7,87,"£74,263",0/6,0,12,"£5,384",0/3,0,3,£523,1/1,0,1,—,1/13,1,14,"£13,425",4/21,4,32,"£47,259",3/16,3,21,"£52,412",4/37,4,73,"£53,791",6/29,9,60,"£62,690",0/1,0,1,—,7yo:,Kodiac,Esuvia,Whipper,"€3,500",5,"£75,618",107,"£170,000 breeze-up purchase, won Norfolk Stakes, related to Resplendent Glory, retired at 2"
Raven's Pass,170/315,375,3001,"£5,446,073",120/292,218,1896,"£4,086,717",87/236,157,1105,"£1,359,356",14/51,31,311,"£366,135",2/6,4,44,"£61,747",13/47,24,241,"£293,160",2/11,3,26,"£11,229",55/118,115,925,"£2,838,432",75/217,91,642,"£1,048,430",12/34,17,83,"£252,494",39/131,80,629,"£1,393,620",124/282,206,1599,"£2,732,634",38/146,61,466,"£859,226",12/74,21,227,"£277,251",7/25,7,80,"£183,342",11/59,11,81,"£142,669",22/131,32,293,"£665,818",31/142,37,311,"£576,457",54/236,70,727,"£1,479,454",60/205,78,603,"£1,376,127",3/14,3,14,"£21,249",16yo:,Elusive Quality right,Ascutney right,Lord At War right,"€7,500",11,"£490,877",131,"high-class 2yo, later top-class 3yo over 1m-1m2f, won BC Classic; progeny progress"
