,Flat_win_runners,Flat_wins,Flat_runs,Flat_earnings,Turf_win_runners,Turf_wins,Turf_runs,Turf_earnings,All-weather_win_runners,All-weather_wins,All-weather_runs,All-weather_earnings,Jumps_win_runners,Jumps_wins,Jumps_runs,Jumps_earnings,Chase_win_runners,Chase_wins,Chase_runs,Chase_earnings,Hurdles_win_runners,Hurdles_wins,Hurdles_runs,Hurdles_earnings,NHF_win_runners,NHF_wins,NHF_runs,NHF_earnings,Broodmare sires_win_runners,Broodmare sires_wins,Broodmare sires_runs,Broodmare sires_earnings,2yo_win_runners,2yo_wins,2yo_runs,2yo_earnings,First Crop_win_runners,First Crop_wins,First Crop_runs,First Crop_earnings,5-6f_win_runners,5-6f_wins,5-6f_runs,5-6f_earnings,7-9f_win_runners,7-9f_wins,7-9f_runs,7-9f_earnings,10-11f_win_runners,10-11f_wins,10-11f_runs,10-11f_earnings,12-13f_win_runners,12-13f_wins,12-13f_runs,12-13f_earnings,14f+_win_runners,14f+_wins,14f+_runs,14f+_earnings,Heavy_win_runners,Heavy_wins,Heavy_runs,Heavy_earnings,Soft_win_runners,Soft_wins,Soft_runs,Soft_earnings,Gd-sft_win_runners,Gd-sft_wins,Gd-sft_runs,Gd-sft_earnings,Good_win_runners,Good_wins,Good_runs,Good_earnings,Gd-fm_win_runners,Gd-fm_wins,Gd-fm_runs,Gd-fm_earnings,Firm_win_runners,Firm_wins,Firm_runs,Firm_earnings,age,sire,dam,dam_sire,stud_fee,total_starts,total_earnings,top_rpr,sire_comments
Dragon Pulse,104/222,237,2252,"£2,444,331",78/212,136,1489,"£1,703,840",56/156,101,763,"£740,491",8/38,9,211,"£105,887",0/4,0,11,"£7,861",8/32,9,184,"£95,163",0/9,0,16,"£2,863",0/1,0,5,"£1,377",48/173,66,731,"£822,566",16/39,23,162,"£265,923",51/154,91,822,"£992,849",54/181,107,1042,"£1,061,444",16/71,27,227,"£236,485",7/46,9,111,"£74,234",5/16,3,50,"£79,319",7/61,7,103,"£120,859",14/131,15,272,"£230,636",15/80,17,182,"£229,540",40/168,52,524,"£623,944",27/131,32,330,"£363,366",1/6,1,10,"£5,151",12yo:,Kyllachy,Poetical,Croco Rouge,"€2,000",7,"£128,411",116,"E120,000 yearling; high-class 2yo, won Futurity Stakes & National Stakes 2nd; won 1m Group 3 at 3"
Dubawi,596/914,1355,7306,"£33,922,415",477/843,968,5331,"£30,835,036",243/603,387,1975,"£3,087,378",36/74,105,629,"£1,393,761",6/10,16,67,"£584,020",32/62,83,503,"£774,940",6/24,6,59,"£34,801",177/348,420,3144,"£5,960,353",262/634,335,1739,"£4,564,809",,,,,96/266,166,1075,"£2,534,309",420/815,744,3933,"£16,779,287",170/440,265,1318,"£9,675,358",76/226,126,595,"£3,048,835",35/111,54,385,"£1,884,625",26/145,29,229,"£1,416,020",122/444,155,922,"£4,838,518",123/440,155,891,"£4,506,408",236/659,329,1904,"£9,990,282",244/633,360,1759,"£11,009,966",9/38,10,43,"£62,435",19yo:,Dubai Millennium,Zomaradah,Deploy,"£250,000",8,"£699,341",128,"unbeaten 2yo, inc National Stakes; won Irish Guineas & Jacques le Marois at 3; exceptional sire"
Due Diligence,37/90,88,715,"£899,978",23/76,52,403,"£605,585",22/73,36,312,"£294,393",0/1,0,3,£700,,,,,0/1,0,3,£700,,,,,,,,,21/72,35,289,"£436,482",16/43,28,179,"£342,444",19/81,55,385,"£680,325",18/55,30,287,"£197,520",3/13,3,37,"£21,832",0/4,0,4,£300,2/2,0,2,—,0/8,0,10,"£3,986",8/32,10,55,"£62,738",6/28,8,55,"£88,483",12/53,16,141,"£247,890",11/56,16,132,"£174,481",1/5,1,6,"£7,502",10yo:,War Front,Bema,Pulpit,"£6,000",9,"£202,818",116,"5f winner at 2 in US; high-class sprinter at 3 in Europe, inc runner-up in Diamond Jubilee"
Elusive Pimpernel,25/78,51,689,"£612,714",21/76,37,494,"£524,492",7/45,14,195,"£88,221",25/91,59,663,"£827,552",9/17,19,108,"£290,777",20/72,28,433,"£430,334",10/56,12,122,"£106,441",3/3,3,16,"£31,909",9/40,12,140,"£91,358",5/12,7,49,"£38,749",4/22,5,67,"£68,636",19/61,38,403,"£359,536",2/44,2,109,"£45,031",3/37,4,80,"£116,123",1/16,2,30,"£23,389",9/52,12,134,"£182,640",13/83,16,197,"£307,013",4/26,4,53,"£96,750",18/108,29,347,"£479,354",7/46,7,94,"£82,331",0/2,0,2,£466,14yo:,Elusive Quality right,Cara Fantasy right,Sadler's Wells right,"€2,500",11,"£151,356",116,"high-class over 7f-1m at 2, inc Acomb Stakes; won Craven as 3yo; family of Big Bad Bob & Snow Fairy"
Elzaam,96/216,214,2036,"£2,635,743",80/206,159,1463,"£2,162,433",38/136,55,573,"£473,310",5/25,6,107,"£62,207",0/1,0,2,£350,5/22,6,96,"£61,012",0/5,0,9,£846,,,,,50/147,69,579,"£914,875",14/32,21,152,"£241,246",47/139,81,724,"£896,012",56/177,107,1053,"£1,508,375",16/60,21,165,"£184,946",5/32,5,70,"£43,338",3/13,0,24,"£3,073",7/50,7,78,"£104,082",22/108,24,240,"£375,492",15/74,20,175,"£325,772",35/157,45,491,"£726,046",33/110,42,337,"£445,431",1/7,1,8,"£13,292",13yo:,Redoute's Choice right,Mambo In Freeport right,Kingmambo right,"€5,000",10,"£89,634",117,"Australian bred group-class 2yo, inc runner-up in the Coventry Stakes; 6f Listed winner at 3"
Equiano,192/435,522,5257,"£6,625,236",144/401,334,3196,"£5,205,313",96/351,188,2061,"£1,419,923",0/20,0,81,"£6,189",0/1,0,1,—,0/16,0,70,"£5,449",0/5,0,10,£739,10/45,17,293,"£253,885",85/321,116,1220,"£1,275,018",16/56,21,232,"£333,956",148/392,371,3564,"£5,349,459",66/275,144,1598,"£1,190,450",5/40,6,72,"£54,556",1/14,1,18,"£26,788",7/3,0,5,"£3,982",8/63,8,84,"£282,028",46/211,64,488,"£895,298",43/217,49,490,"£632,258",56/289,80,929,"£1,411,946",66/299,110,1069,"£1,721,424",8/39,9,70,"£65,005",16yo:,Acclamation,Entente Cordiale,Ela-Mana-Mou,"€3,000",27,"£571,273",123,"2yo winner in Spain; later top-class sprinter at 3-5, inc 2008 and 2010 King's Stand Stakes"
Estidhkaar,20/58,30,338,"£234,813",11/52,15,230,"£138,649",12/38,15,108,"£96,164",0/4,0,9,"£3,692",,,,,0/4,0,9,"£3,692",,,,,,,,,11/42,13,149,"£93,227",7/30,8,107,"£64,287",7/34,11,101,"£66,064",15/52,19,206,"£161,530",0/15,0,25,"£5,523",0/5,0,6,"£1,696",,,,,1/12,1,14,"£6,167",1/19,1,31,"£19,521",0/10,0,15,"£4,881",4/41,5,90,"£53,124",5/25,8,54,"£56,240",,,,,9yo:,Dark Angel,Danetime Out,Danetime,"€5,000",10,"£153,688",118,"dual Group 2 winner at 2, inc Champagne Stakes; 1m Listed winner at 4, half-brother to Toormore"
Falco,8/15,19,167,"£256,508",7/14,16,126,"£237,435",2/6,3,41,"£19,073",9/24,19,168,"£305,301",3/7,4,44,"£80,244",8/21,15,111,"£222,772",0/7,0,13,"£2,285",6/14,15,130,"£128,520",0/6,0,16,"£2,305",0/1,0,2,—,0/2,0,2,—,7/11,13,84,"£189,311",3/12,4,46,"£51,599",1/6,1,26,"£11,437",1/3,1,9,"£4,160",7/14,7,27,"£51,847",6/23,9,63,"£173,703",4/23,5,58,"£91,230",5/22,5,80,"£89,896",6/10,8,40,"£111,417",,,,,16yo:,Pivotal,Icelips,Unbridled,"£3,500",7,"£192,549",122,"top-class miler in France, inc French 2000 Guineas; dual purpose sire"
Farhh,42/87,110,659,"£3,322,935",34/74,76,450,"£2,995,521",20/61,34,209,"£327,413",2/12,6,48,"£55,708",,,,,2/8,6,42,"£54,745",0/4,0,6,£963,,,,,12/57,14,142,"£277,824",6/18,8,48,"£126,961",5/26,6,59,"£67,734",29/76,56,306,"£1,593,651",12/37,20,133,"£316,589",9/29,17,92,"£706,420",6/16,11,69,"£638,541",5/17,5,25,"£671,887",10/34,14,74,"£475,244",8/40,11,74,"£195,186",16/54,19,146,"£955,211",18/53,27,142,"£672,139",2/5,2,5,"£11,507",13yo:,Pivotal,Gonbarda,Lando,Private,10,"£1,328,152",127,7f 2yo winner; top-class won Lockinge & Champion Stakes at 5; five times Group-1 placed over 1m-1m2f
Fascinating Rock,12/38,16,201,"£197,991",9/36,11,150,"£153,786",5/23,5,51,"£44,205",0/1,0,1,"£1,078",,,,,0/1,0,1,"£1,078",,,,,,,,,4/23,5,70,"£70,056",2/14,2,39,"£28,162",2/14,2,32,"£39,855",8/36,8,130,"£105,042",4/11,5,26,"£47,253",1/8,1,13,"£5,841",,,,,0/6,0,7,"£2,135",0/19,0,25,"£27,367",3/9,4,14,"£30,276",4/21,4,49,"£60,550",1/11,1,26,"£26,616",1/3,1,3,"£4,280",10yo:,Fastnet Rock,Miss Polaris,Polar Falcon,"€5,000",15,"£1,152,569",125,"top-class and progressive middle-distance performer, inc G1 Champion Stakes & Tattersalls Gold Cup"
