,Flat_win_runners,Flat_wins,Flat_runs,Flat_earnings,Turf_win_runners,Turf_wins,Turf_runs,Turf_earnings,All-weather_win_runners,All-weather_wins,All-weather_runs,All-weather_earnings,Jumps_win_runners,Jumps_wins,Jumps_runs,Jumps_earnings,Chase_win_runners,Chase_wins,Chase_runs,Chase_earnings,Hurdles_win_runners,Hurdles_wins,Hurdles_runs,Hurdles_earnings,NHF_win_runners,NHF_wins,NHF_runs,NHF_earnings,Broodmare sires_win_runners,Broodmare sires_wins,Broodmare sires_runs,Broodmare sires_earnings,2yo_win_runners,2yo_wins,2yo_runs,2yo_earnings,First Crop_win_runners,First Crop_wins,First Crop_runs,First Crop_earnings,5-6f_win_runners,5-6f_wins,5-6f_runs,5-6f_earnings,7-9f_win_runners,7-9f_wins,7-9f_runs,7-9f_earnings,10-11f_win_runners,10-11f_wins,10-11f_runs,10-11f_earnings,12-13f_win_runners,12-13f_wins,12-13f_runs,12-13f_earnings,14f+_win_runners,14f+_wins,14f+_runs,14f+_earnings,Heavy_win_runners,Heavy_wins,Heavy_runs,Heavy_earnings,Soft_win_runners,Soft_wins,Soft_runs,Soft_earnings,Gd-sft_win_runners,Gd-sft_wins,Gd-sft_runs,Gd-sft_earnings,Good_win_runners,Good_wins,Good_runs,Good_earnings,Gd-fm_win_runners,Gd-fm_wins,Gd-fm_runs,Gd-fm_earnings,Firm_win_runners,Firm_wins,Firm_runs,Firm_earnings
Night Of Thunder,79/142,151,871,"£2,643,930",64/127,107,633,"£2,304,981",26/93,44,238,"£338,948",0/2,0,4,"£2,736",,,,,0/1,0,2,"£2,422",0/1,0,2,£314,,,,,42/102,54,295,"£756,105",23/41,31,130,"£487,020",29/66,44,255,"£971,541",51/117,84,481,"£1,086,964",13/37,19,108,"£418,838",2/14,3,22,"£121,053",1/2,1,5,"£45,533",5/26,5,28,"£68,593",15/69,15,115,"£343,219",12/51,13,77,"£507,740",31/95,34,216,"£629,192",24/80,32,172,"£700,325",1/2,1,2,"£3,381"
No Nay Never,126/230,218,1668,"£5,278,100",104/218,165,1204,"£4,752,771",39/140,53,464,"£525,329",1/11,1,32,"£23,554",0/1,0,1,£350,1/10,1,30,"£23,204",0/1,0,1,—,,,,,84/194,111,662,"£2,569,759",22/44,31,155,"£836,957",78/174,126,785,"£2,822,423",51/177,78,738,"£2,302,763",5/34,7,94,"£80,823",4/15,5,43,"£57,641",2/6,2,8,"£14,450",7/41,7,54,"£356,515",26/95,29,161,"£1,149,183",6/65,6,94,"£194,389",45/178,50,414,"£1,486,760",39/143,47,316,"£1,296,814",0/3,0,3,£756
Norse Dancer,20/47,43,573,"£398,684",15/46,27,372,"£314,314",10/38,16,201,"£84,370",26/83,83,722,"£887,652",9/22,20,133,"£194,939",21/69,48,477,"£633,841",11/54,15,112,"£58,872",11/15,23,146,"£229,482",8/34,9,111,"£68,347",,,,,2/18,2,41,"£23,439",12/44,25,309,"£202,226",8/36,10,140,"£134,336",3/20,4,51,"£28,449",2/15,2,32,"£10,234",6/41,7,74,"£74,516",13/68,19,202,"£182,624",11/64,19,181,"£199,583",22/84,44,415,"£562,500",14/57,18,182,"£167,019",0/9,0,11,"£5,319"
Oasis Dream,591/993,1448,11507,"£24,199,836",449/946,926,7480,"£20,388,386",283/734,522,4027,"£3,811,450",18/73,40,524,"£297,180",2/9,9,39,"£79,694",18/70,31,460,"£214,085",0/11,0,25,"£3,402",469/858,1067,9291,"£14,398,425",247/664,313,2131,"£6,479,008",,,,,267/595,615,4401,"£9,963,238",339/826,657,5411,"£11,138,458",74/306,113,1114,"£2,115,742",32/139,51,434,"£682,926",15/50,12,147,"£299,473",18/157,21,237,"£430,112",71/439,84,915,"£1,836,491",100/477,117,1088,"£2,484,925",215/741,305,2572,"£6,292,956",263/748,386,2717,"£9,170,108",23/104,24,140,"£216,651"
Ocovango,,,,,,,,,,,,,11/86,16,279,"£192,538",0/2,0,2,£350,8/58,13,186,"£153,709",3/54,3,91,"£38,479",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/30,2,46,"£24,214",1/31,2,48,"£57,168",1/17,1,27,"£18,869",5/47,5,89,"£54,831",0/2,0,2,£350,,,,
Orientor,20/41,87,846,"£1,056,979",20/41,66,643,"£914,439",7/24,21,203,"£142,540",0/3,0,17,"£3,023",,,,,0/3,0,15,"£2,856",0/1,0,2,£167,0/1,0,6,£980,2/24,2,73,"£19,757",0/3,0,6,"£1,526",17/37,75,659,"£893,602",4/27,5,125,"£72,381",2/6,3,15,"£11,870",1/3,3,36,"£43,646",2/1,1,11,"£35,480",2/15,3,28,"£85,264",10/29,16,116,"£274,541",7/34,11,129,"£173,011",14/37,23,220,"£220,150",9/32,12,164,"£157,068",0/1,0,2,£192
Outstrip,32/106,66,807,"£501,895",21/99,27,447,"£276,098",20/86,39,360,"£225,798",0/5,0,14,"£7,024",,,,,0/4,0,13,"£7,024",0/1,0,1,—,,,,,16/87,23,339,"£210,967",10/36,14,138,"£104,248",10/65,21,291,"£172,304",20/87,30,394,"£250,717",7/27,10,75,"£44,565",1/13,2,35,"£18,398",3/4,3,12,"£15,912",0/12,0,15,"£3,458",4/47,4,65,"£35,905",1/33,1,45,"£16,464",8/74,8,173,"£117,049",12/65,14,131,"£106,631",0/6,0,9,"£5,519"
Palavicini,4/8,6,119,"£56,198",3/8,4,84,"£36,275",2/7,2,35,"£19,923",1/6,2,26,"£20,046",,,,,1/6,2,23,"£19,403",0/1,0,3,£643,,,,,1/6,1,25,"£9,947",0/1,0,3,£733,1/4,1,30,"£14,465",4/7,5,62,"£36,659",0/6,0,17,"£2,683",0/3,0,9,"£2,212",0/1,0,1,£179,0/4,0,6,"£1,625",1/5,1,13,"£6,580",0/2,0,4,£600,2/9,2,40,"£33,720",1/5,1,16,"£9,400",,,,
Papal Bull,21/64,40,618,"£369,145",16/57,29,441,"£269,350",8/43,11,177,"£99,796",25/82,61,743,"£627,654",6/17,13,109,"£162,869",21/73,44,557,"£440,332",4/36,4,77,"£24,453",0/5,0,22,"£5,080",1/35,1,65,"£4,655",1/14,1,31,"£4,249",0/20,0,35,£783,9/54,16,277,"£139,234",10/37,11,130,"£96,868",4/36,4,113,"£56,291",5/20,9,63,"£75,970",7/42,8,92,"£75,128",10/71,16,190,"£208,319",3/37,5,83,"£40,350",20/85,33,479,"£331,521",10/50,10,118,"£90,501",0/1,0,1,—
Parish Hall,1/5,1,27,"£15,514",1/5,1,23,"£14,954",0/1,0,4,£560,,,,,,,,,,,,,,,,,,,,,1/3,1,20,"£14,067",0/2,0,11,"£3,139",0/1,0,1,£107,1/4,1,21,"£14,060",0/4,0,5,"£1,347",,,,,,,,,0/1,0,1,—,0/3,0,3,"£2,022",,,,,1/4,1,13,"£12,470",,,,,,,,
Passing Glance,26/59,69,664,"£800,007",23/54,56,437,"£717,373",8/48,13,227,"£82,634",61/129,177,1343,"£1,557,357",15/33,43,249,"£483,713",44/102,109,855,"£945,956",20/93,25,239,"£127,688",,,,,9/40,11,117,"£69,417",,,,,5/21,8,86,"£61,638",17/48,34,330,"£470,824",9/37,14,126,"£154,856",4/26,6,65,"£59,828",5/13,7,57,"£52,860",16/61,21,127,"£158,163",27/107,40,325,"£448,032",32/115,49,387,"£549,257",49/134,99,697,"£879,885",12/66,16,199,"£203,804",3/10,3,13,"£11,103"
Pastoral Pursuits,188/391,610,6196,"£5,914,893",161/370,417,4045,"£4,623,481",94/299,193,2151,"£1,291,412",2/34,3,135,"£30,164",0/1,0,1,—,1/29,2,117,"£25,534",1/8,1,17,"£4,631",39/82,103,1139,"£1,104,926",102/302,145,1321,"£1,443,692",,,,,130/309,423,3709,"£4,116,153",78/299,165,2123,"£1,530,835",13/95,15,260,"£235,616",4/32,7,78,"£28,056",12/14,0,26,"£4,233",14/76,16,121,"£113,044",51/210,68,594,"£632,272",43/221,61,658,"£817,554",80/294,123,1297,"£1,448,151",91/303,130,1354,"£1,481,738",16/62,19,108,"£102,056"
Pearl Secret,10/38,12,211,"£109,876",8/35,9,126,"£74,521",3/27,3,85,"£35,355",0/2,0,3,£350,,,,,0/2,0,3,£350,,,,,,,,,6/33,6,115,"£62,748",3/22,3,82,"£29,897",6/29,8,119,"£77,159",4/23,4,75,"£25,999",0/5,0,11,"£2,459",0/1,0,1,£300,1/1,0,5,"£3,959",,,,,3/21,3,27,"£20,689",2/12,2,14,"£9,189",2/24,2,51,"£25,336",2/17,2,27,"£15,795",0/3,0,3,"£1,775"
Pether's Moon,0/1,0,2,"£3,777",0/1,0,1,"£2,915",0/1,0,1,£862,0/8,0,17,"£1,851",,,,,0/2,0,3,—,0/8,0,14,"£1,851",,,,,,,,,,,,,,,,,,,,,,,,,0/1,0,2,"£3,777",,,,,,,,,0/1,0,1,—,0/3,0,3,—,0/8,0,12,"£1,851",0/1,0,1,"£2,915",,,,
Phoenix Reach,22/93,76,1007,"£842,822",18/83,44,558,"£700,076",12/81,32,449,"£142,747",20/68,46,599,"£418,802",4/10,8,122,"£116,079",19/49,35,390,"£281,383",2/43,3,87,"£21,341",1/3,2,13,"£28,136",7/61,11,207,"£248,784",,,,,4/32,27,275,"£112,610",11/87,29,398,"£383,666",10/50,11,157,"£132,376",3/40,5,115,"£102,083",5/21,4,62,"£112,087",8/39,8,82,"£88,761",8/62,15,196,"£262,108",7/64,7,187,"£147,799",21/92,40,442,"£425,085",10/68,18,209,"£168,736",0/11,0,14,"£6,042"
Pivotal,661/1014,1812,13197,"£32,568,244",531/964,1262,9409,"£28,941,901",277/688,550,3788,"£3,626,342",65/160,137,1417,"£1,252,747",13/42,20,227,"£160,720",59/143,112,1102,"£1,048,553",5/41,5,88,"£43,474",739/1278,1892,15709,"£36,520,708",178/547,236,1570,"£3,156,014",,,,,229/515,612,4583,"£10,597,714",433/900,876,6206,"£15,261,507",137/411,215,1487,"£4,391,693",50/211,76,632,"£1,648,701",27/88,33,289,"£668,628",63/284,78,553,"£1,790,677",178/605,238,1755,"£6,908,621",155/571,197,1655,"£3,909,029",272/793,403,3174,"£7,670,061",248/723,391,2936,"£7,438,221",22/145,25,194,"£662,601"
Policy Maker,0/1,0,1,—,0/1,0,1,—,,,,,8/24,22,197,"£733,346",5/11,17,91,"£678,037",3/18,4,85,"£48,206",1/11,1,21,"£7,102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/1,0,1,—,2/8,2,12,"£26,586",1/15,1,32,"£128,139",0/12,0,36,"£77,257",4/17,10,86,"£136,477",1/3,1,5,"£8,465",,,,
Postponed,3/29,3,72,"£63,750",2/27,2,61,"£53,141",1/8,1,11,"£10,609",,,,,,,,,,,,,,,,,,,,,3/29,3,72,"£63,750",3/29,3,72,"£63,750",1/6,1,8,"£12,547",2/29,2,61,"£47,686",0/3,0,3,"£3,517",,,,,,,,,0/2,0,2,"£8,000",0/9,0,12,"£6,325",0/6,0,6,—,0/15,0,26,"£21,873",2/9,2,12,"£14,794",,,,
Prince Of Lir,21/53,30,298,"£319,345",15/52,23,230,"£275,578",7/30,7,68,"£43,766",0/1,0,1,—,,,,,0/1,0,1,—,,,,,,,,,14/42,18,156,"£200,913",8/27,11,94,"£141,602",17/45,23,195,"£239,174",4/28,7,87,"£74,263",0/6,0,12,"£5,384",0/3,0,3,£523,1/1,0,1,—,1/13,1,14,"£13,425",4/21,4,32,"£47,259",3/16,3,21,"£52,412",4/37,4,73,"£53,791",6/29,9,60,"£62,690",0/1,0,1,—
Rajsaman,5/20,11,199,"£130,725",3/19,4,107,"£57,292",3/17,7,92,"£73,433",6/16,9,80,"£72,188",0/2,0,3,£350,6/15,8,72,"£68,610",1/3,1,5,"£3,228",,,,,0/13,0,38,"£7,109",0/4,0,13,"£1,270",0/8,0,36,"£6,352",2/18,3,89,"£51,683",2/12,4,46,"£41,400",2/9,3,20,"£19,456",1/2,1,8,"£11,835",2/5,2,16,"£24,635",2/18,2,35,"£33,440",3/16,4,34,"£21,558",3/19,4,59,"£42,662",1/13,1,24,"£9,549",0/1,0,1,—
Raven's Pass,170/315,375,3001,"£5,446,073",120/292,218,1896,"£4,086,717",87/236,157,1105,"£1,359,356",14/51,31,311,"£366,135",2/6,4,44,"£61,747",13/47,24,241,"£293,160",2/11,3,26,"£11,229",55/118,115,925,"£2,838,432",75/217,91,642,"£1,048,430",12/34,17,83,"£252,494",39/131,80,629,"£1,393,620",124/282,206,1599,"£2,732,634",38/146,61,466,"£859,226",12/74,21,227,"£277,251",7/25,7,80,"£183,342",11/59,11,81,"£142,669",22/131,32,293,"£665,818",31/142,37,311,"£576,457",54/236,70,727,"£1,479,454",60/205,78,603,"£1,376,127",3/14,3,14,"£21,249"
Recharge,0/1,0,5,£216,,,,,0/1,0,5,£216,4/12,9,110,"£63,228",1/6,1,17,"£11,812",3/9,7,77,"£48,264",1/9,1,16,"£3,152",0/1,0,7,£600,,,,,,,,,,,,,0/1,0,5,£216,,,,,,,,,,,,,1/4,1,8,"£6,239",1/8,1,16,"£13,951",2/7,3,22,"£16,209",3/10,4,59,"£25,748",0/3,0,3,"£1,082",,,,
Ribchester,9/42,14,138,"£187,348",7/37,12,103,"£163,253",2/20,2,35,"£24,095",,,,,,,,,,,,,,,,,,,,,9/42,14,138,"£187,348",9/42,14,138,"£187,348",4/28,9,76,"£141,489",5/33,5,61,"£45,859",0/1,0,1,—,,,,,,,,,,,,,3/13,3,15,"£32,672",2/9,2,11,"£11,327",3/26,4,41,"£87,846",3/21,3,31,"£23,415",,,,
Rule Of Law,0/1,0,13,"£2,752",0/1,0,9,"£2,090",0/1,0,4,£662,3/18,5,110,"£45,287",2/5,2,8,"£9,000",2/16,3,88,"£34,876",0/8,0,14,"£1,411",,,,,0/1,0,5,£662,,,,,0/1,0,3,"£1,047",0/1,0,10,"£1,704",,,,,,,,,,,,,0/6,0,10,£940,2/11,3,22,"£16,981",0/3,0,7,"£2,544",2/15,2,56,"£24,733",0/2,0,2,£550,,,,
Saddex,1/3,2,11,"£28,033",1/2,2,10,"£28,033",0/1,0,1,—,9/19,20,159,"£269,561",3/5,7,33,"£110,657",8/13,11,110,"£125,958",2/8,2,16,"£32,946",1/2,1,8,"£4,764",,,,,,,,,,,,,0/1,0,2,£176,0/2,0,4,"£2,025",1/2,1,2,"£6,937",1/1,1,3,"£18,895",2/9,4,25,"£51,642",7/13,10,48,"£115,179",2/14,2,30,"£55,650",3/11,3,39,"£46,020",0/2,0,3,£526,,,,
Sandmason,,,,,,,,,,,,,10/33,29,281,"£547,300",6/12,12,79,"£139,498",7/28,12,161,"£370,943",4/18,5,41,"£36,859",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/14,8,37,"£148,550",4/22,8,71,"£243,977",3/15,4,34,"£69,421",6/29,9,118,"£89,295",0/3,0,4,"£1,277",,,,
Sans Frontieres,1/1,2,2,"£26,754",1/1,2,2,"£26,754",,,,,22/90,41,469,"£350,946",3/10,7,37,"£50,799",18/72,25,333,"£244,495",8/53,9,99,"£55,652",,,,,,,,,,,,,,,,,,,,,1/1,2,2,"£26,754",,,,,,,,,6/32,11,68,"£96,021",9/47,10,91,"£71,216",3/33,3,57,"£26,969",9/60,15,160,"£117,726",0/2,0,2,"£1,412",,,,
Scalo,0/1,0,3,£205,0/1,0,1,£98,0/1,0,2,£107,1/2,1,29,"£10,882",,,,,1/2,1,22,"£8,183",0/2,0,7,"£2,699",,,,,,,,,,,,,,,,,0/1,0,1,—,0/1,0,2,£205,,,,,,,,,0/1,0,1,—,0/2,0,5,"£1,192",,,,,0/2,0,15,"£3,445",0/1,0,2,£350,,,,
Schiaparelli,2/7,2,25,"£11,879",1/5,1,9,"£8,520",1/6,1,16,"£3,360",36/121,75,740,"£889,397",10/28,18,108,"£206,438",23/86,42,457,"£616,714",14/99,15,175,"£66,245",,,,,,,,,,,,,,,,,0/3,0,7,£845,1/4,1,8,"£2,622",1/4,1,6,"£8,022",0/2,0,4,£390,7/45,8,77,"£63,690",19/80,24,209,"£379,983",10/66,13,158,"£166,994",20/89,24,241,"£222,343",3/15,4,20,"£22,490",0/1,0,1,£300
Scorpion,2/11,4,44,"£24,593",2/11,3,39,"£18,660",1/2,1,5,"£5,933",196/515,437,4780,"£4,820,296",66/194,118,1232,"£2,097,864",146/448,244,2842,"£2,261,647",68/352,75,706,"£460,785",4/20,6,77,"£31,252",0/1,0,2,—,0/1,0,2,—,,,,,0/2,0,11,—,1/3,1,8,"£4,307",1/8,1,15,"£9,444",2/6,2,10,"£10,842",38/240,53,565,"£537,022",63/361,81,1034,"£1,315,135",45/214,62,549,"£695,447",112/410,172,1739,"£1,719,191",16/81,18,118,"£104,550",,,,
Sea Moon,1/1,2,15,"£17,521",0/1,0,8,"£4,281",1/1,2,7,"£13,240",2/7,3,26,"£29,682",,,,,0/3,0,15,"£4,270",2/6,3,11,"£25,412",,,,,,,,,,,,,,,,,1/1,2,14,"£17,521",0/1,0,1,—,,,,,,,,,0/2,0,2,"£2,000",0/4,0,5,"£1,000",,,,,2/7,3,22,"£34,389",,,,,,,,
Sea The Moon,47/102,92,758,"£1,416,522",31/93,59,505,"£1,207,140",21/63,33,253,"£209,381",10/30,21,105,"£309,480",1/1,5,6,"£119,325",9/25,13,84,"£181,140",3/9,3,15,"£9,015",,,,,18/74,24,204,"£295,004",5/25,7,63,"£66,379",4/18,10,77,"£62,959",24/88,38,346,"£591,752",14/60,19,168,"£272,914",9/49,13,106,"£141,037",6/24,12,61,"£347,860",9/39,9,54,"£131,570",11/59,14,123,"£396,299",10/44,14,81,"£258,612",15/74,24,186,"£386,749",12/61,13,119,"£219,499",0/2,0,3,"£3,244"
Sea The Stars,301/478,614,3496,"£20,061,796",226/448,435,2526,"£18,623,563",126/297,179,970,"£1,438,233",26/82,46,504,"£549,492",2/7,4,34,"£68,437",21/67,35,423,"£447,265",6/24,7,47,"£33,790",69/119,120,746,"£1,728,992",73/237,82,496,"£921,239",8/35,10,72,"£115,336",2/26,2,40,"£35,117",143/380,202,1205,"£4,459,462",141/364,212,1152,"£5,966,373",86/240,119,673,"£5,410,636",40/109,79,426,"£4,190,207",10/89,12,131,"£259,770",41/225,51,414,"£3,215,942",50/181,63,338,"£3,990,387",124/367,172,1071,"£5,581,430",105/310,159,795,"£5,484,332",2/13,2,13,"£20,092"
September Storm,0/2,0,4,£300,0/2,0,4,£300,,,,,25/93,77,866,"£718,338",15/33,30,262,"£325,150",18/74,38,479,"£351,254",6/64,9,125,"£41,934",0/2,0,4,£167,,,,,,,,,,,,,,,,,0/1,0,1,—,0/1,0,2,—,0/1,0,1,£300,4/41,5,92,"£54,061",10/60,12,165,"£131,638",7/33,8,88,"£92,228",16/79,41,369,"£376,850",5/16,6,24,"£35,070",,,,
Shamardal,486/786,1124,7586,"£21,230,646",348/731,700,5086,"£17,688,794",246/551,424,2500,"£3,541,852",15/55,40,423,"£313,026",3/6,4,21,"£29,730",12/51,29,374,"£264,058",5/12,7,28,"£19,238",240/412,529,3912,"£9,078,407",168/472,217,1358,"£5,411,134",,,,,138/343,295,1979,"£5,600,326",347/715,624,4101,"£11,665,086",97/301,156,1044,"£3,174,869",21/122,36,340,"£491,236",12/38,13,122,"£299,129",17/115,22,160,"£485,859",63/354,85,727,"£2,122,018",62/317,76,624,"£1,363,337",165/549,238,1787,"£6,834,606",194/569,275,1819,"£6,917,666",11/50,11,56,"£79,933"
