,Flat_win_runners,Flat_wins,Flat_runs,Flat_earnings,Turf_win_runners,Turf_wins,Turf_runs,Turf_earnings,All-weather_win_runners,All-weather_wins,All-weather_runs,All-weather_earnings,Jumps_win_runners,Jumps_wins,Jumps_runs,Jumps_earnings,Chase_win_runners,Chase_wins,Chase_runs,Chase_earnings,Hurdles_win_runners,Hurdles_wins,Hurdles_runs,Hurdles_earnings,NHF_win_runners,NHF_wins,NHF_runs,NHF_earnings,Broodmare sires_win_runners,Broodmare sires_wins,Broodmare sires_runs,Broodmare sires_earnings,2yo_win_runners,2yo_wins,2yo_runs,2yo_earnings,First Crop_win_runners,First Crop_wins,First Crop_runs,First Crop_earnings,5-6f_win_runners,5-6f_wins,5-6f_runs,5-6f_earnings,7-9f_win_runners,7-9f_wins,7-9f_runs,7-9f_earnings,10-11f_win_runners,10-11f_wins,10-11f_runs,10-11f_earnings,12-13f_win_runners,12-13f_wins,12-13f_runs,12-13f_earnings,14f+_win_runners,14f+_wins,14f+_runs,14f+_earnings,Heavy_win_runners,Heavy_wins,Heavy_runs,Heavy_earnings,Soft_win_runners,Soft_wins,Soft_runs,Soft_earnings,Gd-sft_win_runners,Gd-sft_wins,Gd-sft_runs,Gd-sft_earnings,Good_win_runners,Good_wins,Good_runs,Good_earnings,Gd-fm_win_runners,Gd-fm_wins,Gd-fm_runs,Gd-fm_earnings,Firm_win_runners,Firm_wins,Firm_runs,Firm_earnings
Shantaram,,,,,,,,,,,,,2/16,2,42,"£13,093",0/1,0,1,—,0/7,0,21,"£1,875",2/14,2,20,"£11,218",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/5,0,9,£300,0/6,0,9,£239,,,,,1/8,1,14,"£5,463",,,,,,,,
Shantou,6/19,14,107,"£380,794",5/17,11,84,"£371,271",1/4,3,23,"£9,523",222/409,660,4739,"£8,040,012",85/157,183,1237,"£3,254,749",185/349,384,2818,"£4,151,668",79/305,93,684,"£633,594",19/49,46,350,"£307,008",0/2,0,6,£967,,,,,,,,,0/6,0,13,"£3,185",0/10,0,12,"£10,302",4/13,5,37,"£112,494",5/13,9,45,"£254,812",67/244,87,657,"£1,112,977",105/300,177,1105,"£2,509,293",58/180,79,557,"£968,177",109/314,197,1450,"£2,170,548",24/78,31,147,"£366,787",1/1,1,2,"£7,667"
Shirocco,60/164,148,1533,"£2,609,890",50/147,97,1028,"£2,259,693",26/125,51,505,"£350,197",152/450,331,2933,"£3,877,179",27/74,49,321,"£864,319",120/360,222,1991,"£2,673,616",55/304,60,621,"£339,244",32/67,66,684,"£2,180,388",13/85,13,210,"£86,779",,,,,1/23,1,53,"£11,503",22/124,28,422,"£285,300",28/112,41,428,"£615,145",23/104,32,288,"£605,883",18/60,46,342,"£1,092,059",41/225,51,393,"£468,923",71/338,101,848,"£1,484,165",53/254,71,625,"£1,176,709",98/394,144,1304,"£1,917,206",24/127,27,321,"£817,840",3/15,3,15,"£17,989"
Sholokhov,5/19,17,201,"£106,775",4/17,10,126,"£68,576",3/12,7,75,"£38,199",71/167,180,1310,"£2,819,449",25/45,53,249,"£1,364,721",57/131,99,869,"£1,288,047",23/108,28,192,"£166,681",13/21,29,158,"£297,251",0/6,0,16,"£4,292",,,,,0/1,0,1,—,1/13,2,67,"£21,984",4/10,6,61,"£42,385",2/9,4,33,"£19,875",2/9,5,39,"£22,531",19/85,23,164,"£319,350",29/109,43,341,"£641,388",26/85,33,203,"£354,918",30/126,53,468,"£1,026,576",7/29,10,73,"£78,880",,,,
Showcasing,252/490,556,5142,"£8,032,533",178/455,355,3240,"£6,555,901",130/389,201,1902,"£1,476,632",4/25,6,88,"£49,170",0/1,0,2,£700,4/23,4,80,"£42,263",1/3,2,6,"£6,207",16/40,21,252,"£266,781",147/401,203,1569,"£3,076,868",26/48,41,214,"£476,777",164/399,353,2874,"£5,666,224",107/340,185,1888,"£2,153,411",10/78,12,275,"£166,889",4/33,4,91,"£36,183",10/8,2,14,"£9,826",4/80,5,94,"£164,776",44/241,55,489,"£1,045,881",44/225,54,478,"£1,357,152",80/341,116,1039,"£1,913,062",88/339,110,1062,"£1,866,370",6/43,7,64,"£58,396"
Sir Percy,206/372,514,4613,"£5,576,667",150/353,312,2947,"£4,229,780",111/307,202,1666,"£1,346,887",48/110,109,859,"£1,147,752",4/11,9,64,"£263,818",41/96,88,733,"£843,035",10/27,12,62,"£40,899",29/67,54,539,"£875,386",70/264,87,884,"£849,289",10/26,16,102,"£100,021",25/128,35,395,"£330,805",105/342,169,1710,"£1,448,315",90/264,148,1130,"£1,625,263",66/207,100,841,"£1,059,958",35/118,62,537,"£1,112,325",19/94,24,148,"£266,584",47/210,61,555,"£953,021",41/232,53,642,"£651,768",92/309,137,1260,"£1,780,616",96/292,131,1029,"£1,562,574",7/38,8,50,"£67,702"
Sixties Icon,111/227,271,2906,"£2,937,511",102/209,224,2000,"£2,470,768",31/175,47,906,"£466,743",29/95,65,730,"£615,192",5/10,7,78,"£55,341",24/80,50,584,"£530,509",6/30,8,68,"£29,341",10/21,21,189,"£296,273",49/156,74,682,"£577,598",8/17,14,107,"£120,865",32/116,59,616,"£548,013",53/200,98,1226,"£995,238",36/121,60,528,"£569,017",16/83,21,260,"£408,817",15/42,33,276,"£416,427",18/77,20,161,"£182,298",38/145,47,432,"£491,616",41/164,50,485,"£564,247",58/199,94,844,"£1,139,459",48/171,72,669,"£613,656",4/42,4,58,"£32,684"
Slade Power,68/159,151,1563,"£1,902,275",48/148,93,1008,"£1,371,803",37/120,58,555,"£530,471",2/9,2,41,"£19,351",,,,,2/8,2,37,"£18,733",0/2,0,4,£617,,,,,27/117,36,402,"£618,143",14/55,18,202,"£217,311",32/118,72,678,"£1,136,484",38/125,59,716,"£613,697",7/29,12,113,"£90,856",3/16,4,40,"£30,475",2/7,4,16,"£30,763",4/37,4,54,"£58,791",11/82,17,157,"£165,236",12/52,12,101,"£239,489",20/113,25,341,"£430,510",21/96,30,269,"£415,319",0/5,0,6,"£4,617"
Soldier Of Fortune,9/20,34,285,"£669,403",9/19,26,190,"£480,506",3/13,8,95,"£188,898",33/67,72,475,"£1,154,783",9/19,15,95,"£329,412",23/47,42,300,"£705,368",12/36,15,80,"£120,004",0/3,0,5,"£2,990",2/9,3,28,"£24,956",1/3,2,13,"£15,270",0/2,0,2,£176,3/14,6,62,"£86,475",4/15,11,83,"£277,478",7/13,12,92,"£163,863",3/11,5,46,"£141,412",10/29,11,59,"£170,730",18/47,22,140,"£368,376",9/27,10,86,"£182,812",15/53,28,214,"£495,372",6/15,13,55,"£165,251",1/1,1,1,"£7,439"
Starspangledbanner,96/180,204,1614,"£3,295,175",83/170,155,1174,"£2,943,627",29/117,49,440,"£351,548",3/9,4,47,"£30,385",,,,,3/9,4,44,"£29,431",0/2,0,3,£954,6/10,7,86,"£67,124",58/151,77,571,"£1,555,567",10/17,14,67,"£267,996",66/134,127,906,"£2,076,163",38/127,68,600,"£1,089,308",6/23,8,81,"£113,007",1/10,1,18,"£10,605",4/3,0,9,"£6,093",4/31,4,38,"£69,606",18/80,23,185,"£338,375",18/72,21,137,"£289,285",39/125,50,398,"£1,093,192",30/113,47,332,"£944,616",0/9,0,10,"£6,953"
Steele Tango,2/4,3,75,"£34,403",2/3,2,36,"£22,890",1/4,1,39,"£11,514",0/1,0,1,—,,,,,0/1,0,1,—,,,,,,,,,0/1,0,1,—,,,,,0/1,0,1,—,0/3,0,12,£761,1/3,1,22,"£8,362",0/3,0,10,"£5,665",1/3,2,30,"£19,615",1/3,1,4,"£3,026",1/2,1,8,"£9,556",0/2,0,9,"£4,125",0/2,0,6,"£3,566",0/2,0,8,"£2,316",0/1,0,2,£300
Stimulation,31/86,107,1259,"£1,003,473",27/83,87,864,"£859,394",12/70,20,395,"£144,078",5/12,8,91,"£70,434",,,,,4/9,6,71,"£59,663",2/6,2,20,"£10,771",1/5,1,26,"£9,696",14/73,18,345,"£179,623",6/30,6,162,"£62,079",20/72,63,695,"£513,758",14/70,29,422,"£195,334",6/23,7,74,"£47,726",2/16,2,35,"£9,503",1/7,6,33,"£237,152",7/23,9,38,"£80,058",11/53,15,148,"£137,374",10/66,13,167,"£92,237",21/71,39,303,"£426,984",12/65,17,248,"£157,069",1/13,1,30,"£15,136"
Sun Central,0/4,0,21,"£1,208",0/4,0,12,£608,0/2,0,9,£600,0/3,0,13,"£1,476",,,,,0/3,0,11,"£1,476",0/1,0,2,—,,,,,0/1,0,2,—,,,,,0/1,0,2,—,0/4,0,7,£300,0/3,0,5,—,0/2,0,6,£908,0/1,0,1,—,0/1,0,1,—,0/4,0,6,£758,0/4,0,4,—,0/5,0,7,"£1,026",0/2,0,4,£300,0/1,0,1,—
Swiss Spirit,80/205,198,2181,"£1,627,130",52/186,93,1217,"£945,469",54/177,105,964,"£681,661",0/7,0,22,"£2,121",,,,,0/5,0,16,"£1,477",0/3,0,6,£644,,,,,37/157,49,601,"£390,193",13/38,18,153,"£129,766",50/182,121,1359,"£1,081,908",36/138,76,752,"£527,833",1/32,1,58,"£15,058",0/8,0,12,"£2,332",,,,,2/24,2,33,"£19,820",7/85,7,147,"£66,944",9/93,9,166,"£112,967",24/143,29,393,"£304,622",26/134,40,429,"£398,650",3/16,4,19,"£30,485"
Tagula,221/501,774,8049,"£8,862,442",182/482,506,5562,"£7,483,102",108/356,268,2487,"£1,379,340",22/110,48,681,"£435,634",3/15,3,58,"£23,553",19/96,43,577,"£404,220",2/23,2,46,"£7,861",89/192,286,3064,"£3,641,138",100/354,160,1462,"£1,628,819",,,,,143/397,449,4176,"£4,725,315",105/410,247,3087,"£3,292,544",25/144,48,474,"£432,398",15/76,21,223,"£188,467",19/25,9,89,"£223,717",16/140,19,261,"£213,243",57/282,69,759,"£707,006",51/252,69,796,"£778,819",102/388,155,1802,"£2,410,207",108/393,205,1968,"£3,322,843",19/138,22,251,"£121,386"
Tamayuz,129/273,312,2900,"£4,726,066",97/253,193,1835,"£3,769,570",69/215,119,1065,"£956,497",16/40,34,266,"£315,985",1/2,7,27,"£68,925",15/38,25,231,"£239,448",2/4,2,8,"£7,612",29/65,63,579,"£540,641",57/197,71,595,"£790,407",8/26,11,78,"£188,727",41/151,73,632,"£973,559",86/243,175,1576,"£2,672,321",24/101,36,383,"£495,732",10/56,15,197,"£347,853",7/24,13,112,"£236,601",6/54,6,83,"£76,596",24/116,28,271,"£434,864",35/107,41,252,"£840,619",50/199,73,723,"£1,435,922",45/176,62,576,"£1,103,496",1/15,1,26,"£10,964"
Tau Ceti,2/3,3,59,"£12,018",1/3,1,28,"£6,073",1/2,2,31,"£5,945",1/2,2,12,"£14,141",,,,,1/2,2,10,"£13,686",0/1,0,2,£455,,,,,0/2,0,4,—,,,,,0/1,0,10,"£1,069",1/2,2,22,"£5,677",0/2,0,6,£593,1/1,1,12,"£2,488",0/1,0,9,"£2,192",0/2,0,2,£458,0/3,0,5,"£1,013",0/2,0,4,"£1,165",2/3,3,12,"£15,273",0/3,0,9,"£1,625",0/1,0,6,£866
Telescope,1/10,1,53,"£11,052",1/8,1,24,"£5,800",0/8,0,29,"£5,252",1/21,1,33,"£12,167",,,,,0/4,0,7,"£3,951",1/20,1,26,"£8,216",,,,,0/4,0,8,"£1,444",,,,,0/1,0,1,—,0/10,0,22,"£2,975",0/7,0,16,"£2,451",1/5,1,10,"£4,426",0/2,0,4,"£1,200",0/2,0,2,"£1,900",0/3,0,4,"£1,214",0/9,0,10,"£1,360",2/17,2,30,"£11,997",0/6,0,10,"£1,904",0/1,0,1,—
Teofilo,343/616,772,5942,"£16,544,534",283/573,550,4167,"£14,501,442",129/431,222,1775,"£2,043,092",51/120,112,990,"£1,087,877",6/22,8,98,"£89,723",43/110,89,805,"£913,308",12/33,15,87,"£84,846",114/262,236,2413,"£3,391,621",102/332,134,894,"£2,287,932",15/51,18,123,"£378,692",25/123,29,275,"£396,178",202/514,308,2429,"£5,364,913",147/453,221,1620,"£5,132,055",103/331,138,1018,"£3,103,463",40/153,76,600,"£2,547,925",21/134,22,225,"£488,456",66/337,78,718,"£1,718,879",64/245,74,529,"£1,425,668",158/486,237,1758,"£5,850,138",144/422,197,1289,"£5,983,938",3/31,3,38,"£36,734"
The Gurkha,33/72,52,435,"£586,200",24/65,34,305,"£465,438",16/49,18,130,"£120,762",1/3,1,5,"£13,161",,,,,1/3,1,5,"£13,161",,,,,,,,,19/62,22,197,"£240,877",11/39,11,130,"£103,074",5/34,5,69,"£39,001",27/64,38,297,"£406,873",5/26,5,48,"£58,678",3/11,4,20,"£81,349",0/1,0,1,£300,1/12,1,14,"£24,195",3/32,3,45,"£45,797",3/16,3,25,"£56,774",14/48,17,116,"£242,786",7/37,8,62,"£100,231",0/1,0,1,£303
The Last Lion,11/42,13,256,"£156,982",5/35,5,167,"£97,655",6/33,8,89,"£59,327",,,,,,,,,,,,,,,,,,,,,7/37,7,131,"£84,144",5/27,5,84,"£45,295",3/28,3,105,"£74,788",8/34,10,139,"£71,397",0/5,0,6,"£5,180",0/3,0,5,"£4,711",0/1,0,1,£906,0/6,0,8,"£1,075",0/14,0,23,"£6,676",1/11,1,18,"£11,195",0/26,0,57,"£28,829",2/16,2,34,"£18,962",0/1,0,1,"£1,344"
Tirwanako,,,,,,,,,,,,,4/4,15,48,"£134,810",2/2,5,15,"£52,628",4/4,8,28,"£76,385",1/3,2,5,"£5,797",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/4,5,7,"£46,079",2/4,4,18,"£48,605",2/4,3,10,"£16,944",1/2,1,5,"£6,093",,,,,,,,
Tough As Nails,13/26,34,407,"£362,753",13/23,30,331,"£313,208",2/17,4,76,"£49,545",0/5,0,20,"£4,826",,,,,0/4,0,18,"£4,826",0/2,0,2,—,,,,,3/19,6,89,"£84,164",,,,,7/19,13,147,"£147,878",9/23,19,214,"£187,430",1/10,1,34,"£17,670",1/5,1,11,"£9,775",0/1,0,1,—,3/12,3,36,"£33,065",2/18,2,53,"£42,872",1/2,1,6,"£5,931",6/18,9,108,"£111,422",4/13,6,42,"£72,050",,,,
Twilight Son,49/116,79,702,"£798,776",30/94,43,419,"£584,166",28/91,36,283,"£214,610",1/2,1,2,"£4,435",,,,,1/2,1,2,"£4,435",,,,,,,,,25/96,28,328,"£350,375",17/68,17,234,"£154,879",31/84,53,369,"£574,115",18/78,24,292,"£203,994",2/13,2,26,"£14,135",0/7,0,11,"£4,597",1/2,0,4,"£1,935",1/13,1,15,"£32,919",4/45,4,60,"£53,355",5/39,5,57,"£125,176",17/67,17,144,"£183,064",11/64,14,124,"£175,059",2/3,2,4,"£8,001"
Ulysses,13/33,15,90,"£125,088",10/31,10,71,"£99,719",3/12,5,19,"£25,369",,,,,,,,,,,,,,,,,,,,,13/33,15,90,"£125,088",13/33,15,90,"£125,088",0/5,0,7,"£4,310",13/33,15,81,"£115,408",0/2,0,2,"£5,370",,,,,,,,,0/2,0,2,—,1/6,1,9,"£13,983",2/6,2,7,"£9,814",4/19,4,32,"£53,107",2/14,2,19,"£17,491",,,,
Universal,7/18,21,128,"£148,312",4/15,8,58,"£68,431",5/15,13,70,"£79,882",9/37,12,208,"£111,755",0/3,0,10,"£7,592",9/29,12,147,"£99,082",0/29,0,51,"£5,082",,,,,2/12,3,27,"£15,854",0/2,0,4,—,0/3,0,7,—,4/18,7,58,"£44,587",4/11,6,30,"£39,807",3/7,5,21,"£40,248",2/3,3,12,"£23,671",2/11,3,23,"£12,878",4/31,4,74,"£28,077",2/27,2,53,"£32,678",5/31,6,85,"£67,993",3/14,3,22,"£27,982",1/2,2,4,"£10,087"
Vadamos,23/57,33,347,"£319,735",14/51,19,220,"£214,101",11/47,14,127,"£105,634",1/8,1,13,"£7,848",,,,,1/8,1,13,"£7,848",,,,,,,,,12/49,14,152,"£115,931",8/34,10,111,"£75,974",3/26,6,79,"£58,501",17/51,22,209,"£218,300",2/18,2,43,"£27,463",1/6,1,11,"£6,908",1/3,2,5,"£8,563",0/12,0,15,"£12,145",3/31,4,43,"£37,871",3/15,3,19,"£34,987",3/37,3,78,"£50,521",7/25,8,51,"£72,878",,,,
Valirann,2/5,3,28,"£22,535",2/5,2,22,"£16,790",1/2,1,6,"£5,746",7/38,14,156,"£104,174",0/3,0,9,"£2,630",6/29,10,108,"£58,670",2/26,4,39,"£42,874",,,,,0/1,0,2,—,0/1,0,2,—,1/1,2,5,"£10,799",0/4,0,14,"£2,924",1/2,1,4,"£5,795",0/3,0,5,"£3,018",,,,,0/13,0,26,"£2,997",3/17,3,24,"£24,454",1/9,1,14,"£22,815",4/27,9,56,"£46,804",0/1,0,1,—,,,,
Well Chosen,4/8,6,35,"£57,984",4/8,5,31,"£43,411",1/3,1,4,"£14,573",47/98,131,1031,"£1,587,066",23/42,53,343,"£764,767",32/79,59,558,"£611,438",15/61,19,130,"£210,862",0/3,0,32,"£9,752",,,,,,,,,0/1,0,2,—,0/3,0,5,—,1/4,1,4,"£8,348",1/4,1,12,"£7,710",3/4,4,12,"£41,926",22/59,32,160,"£325,712",23/67,39,245,"£459,635",7/30,8,89,"£134,988",18/69,28,267,"£371,437",1/15,1,24,"£16,702",,,,
Where Or When,38/91,102,1106,"£655,937",30/83,61,661,"£464,906",23/72,41,445,"£191,032",15/66,32,449,"£406,549",1/9,1,31,"£14,102",15/55,28,332,"£365,753",3/34,3,86,"£26,695",8/24,24,345,"£224,886",6/49,7,163,"£94,409",,,,,4/32,13,142,"£57,133",15/75,22,382,"£153,730",23/57,36,306,"£207,644",9/44,24,175,"£169,554",5/24,7,101,"£67,877",5/34,10,70,"£204,271",6/71,6,173,"£143,357",14/70,16,166,"£129,091",22/87,33,348,"£195,410",16/82,23,277,"£212,898",1/13,2,18,"£8,552"
Workforce,0/1,0,2,—,0/1,0,2,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/1,0,1,—,,,,,,,,,0/1,0,1,—,,,,,,,,,,,,,,,,,,,,,,,,
Yeats,18/52,43,478,"£667,752",14/48,35,356,"£601,597",7/35,8,122,"£66,155",220/466,583,4625,"£6,748,100",75/150,145,894,"£2,245,045",181/386,346,2975,"£3,837,868",82/337,92,756,"£665,186",4/11,5,38,"£22,168",2/24,2,49,"£14,034",1/11,1,26,"£9,219",,,,,6/34,7,104,"£44,334",7/36,10,121,"£184,541",7/38,10,136,"£106,252",9/25,16,117,"£332,625",53/244,61,521,"£668,472",81/334,114,1041,"£1,504,457",61/220,80,626,"£1,149,415",123/368,254,1779,"£2,919,719",14/79,18,171,"£167,945",0/3,0,5,"£2,987"
Yorgunnabelucky,5/15,20,192,"£137,291",4/14,9,111,"£60,824",3/14,11,81,"£76,467",8/33,15,143,"£92,251",2/3,2,10,"£11,607",3/21,7,91,"£60,755",5/22,6,42,"£19,889",,,,,2/10,3,39,"£15,237",0/2,0,8,"£3,537",0/6,0,19,"£4,717",4/15,8,101,"£62,091",2/11,11,48,"£55,579",1/7,1,18,"£13,905",0/3,0,6,"£1,000",1/12,1,18,"£11,467",2/20,2,31,"£11,400",2/15,3,34,"£16,046",5/31,13,93,"£80,585",3/12,3,49,"£26,697",0/2,0,2,£398
Youmzain,11/24,17,191,"£251,088",7/20,11,144,"£214,072",5/15,6,47,"£37,016",10/23,19,201,"£240,354",1/6,3,23,"£61,536",9/19,13,154,"£164,585",2/10,3,24,"£14,233",2/4,2,20,"£41,001",3/8,3,22,"£43,687",0/1,0,2,£289,0/2,0,4,—,4/18,4,58,"£59,451",4/13,7,58,"£136,797",2/12,2,42,"£19,498",4/8,4,29,"£35,341",4/16,4,32,"£44,514",6/18,10,73,"£156,945",3/22,3,53,"£90,185",7/28,9,127,"£92,528",3/12,3,35,"£57,141",0/1,0,1,"£1,040"
Zambezi Sun,2/3,4,27,"£51,053",1/3,1,18,"£42,893",1/1,3,9,"£8,160",10/19,20,169,"£212,918",2/7,5,40,"£94,705",8/16,13,107,"£104,849",2/11,2,22,"£13,364",0/2,0,4,—,,,,,,,,,,,,,1/1,2,6,"£5,040",1/3,1,7,"£3,909",1/2,1,14,"£42,103",,,,,3/11,4,26,"£47,774",4/14,6,41,"£83,097",4/10,4,23,"£37,538",4/16,6,59,"£58,293",0/2,0,2,£250,,,,
Zoffany,257/500,520,5175,"£9,229,625",207/477,380,3625,"£8,027,346",93/348,140,1550,"£1,202,278",28/75,51,507,"£546,129",1/9,1,38,"£29,623",26/73,46,445,"£501,385",4/11,4,24,"£15,120",7/19,10,97,"£137,869",123/386,152,1362,"£2,734,189",27/64,38,246,"£753,765",70/248,98,1042,"£1,832,814",167/448,294,2778,"£4,854,046",54/219,71,753,"£1,222,492",29/118,34,370,"£734,416",13/53,23,232,"£585,856",22/132,23,232,"£505,392",66/283,81,644,"£1,340,199",44/199,57,486,"£1,153,355",96/380,123,1312,"£3,143,969",80/323,108,924,"£2,064,861",2/22,2,24,"£13,529"
